"Hours_Studied","Attendance","Parental_Involvement","Access_to_Resources","Extracurricular_Activities","Sleep_Hours","Previous_Scores","Motivation_Level","Internet_Access","Tutoring_Sessions","Family_Income","Teacher_Quality","School_Type","Peer_Influence","Physical_Activity","Learning_Disabilities","Parental_Education_Level","Distance_from_Home","Gender","Exam_Score","Study_Attendance","Sleep_Study"
0.505039110728592,0.344493338028646,"Low","High",0,-0.0238168639172075,-0.143479805211215,"Low",1,0,"Low","Medium","Public","Positive",3,0,"High School","Near","Male",67,0.173982609089912,-0.0120284477730904
-0.163247081849616,-1.38700003046239,"Low","Medium",0,0.657366804530993,-1.11567579602316,"Low",1,2,"Medium","Medium","Public","Negative",4,0,"College","Moderate","Female",61,0.226423707498314,-0.107313212544491
0.672110658873144,1.55653869597237,"Medium","Medium",1,-0.0238168639172075,1.10648646868986,"Medium",1,2,"Medium","Medium","Public","Neutral",4,0,"Postgraduate","Near","Male",74,1.04616624851154,-0.0160075680996863
1.5074683995959,0.777366680151406,"Low","Medium",1,0.657366804530993,1.59258446409583,"Medium",1,1,"Medium","Medium","Public","Negative",4,0,"High School","Moderate","Male",71,1.17185570522702,0.99095968477381
-0.163247081849616,1.03709068542506,"Medium","Medium",1,-0.705000532365408,-0.69902037138947,"Medium",1,3,"Medium","High","Public","Neutral",4,0,"College","Near","Female",70,-0.169302028009059,0.115089279611078
-0.163247081849616,0.690792011726854,"Medium","Medium",1,0.657366804530993,0.967601327145296,"Medium",1,3,"Medium","Medium","Public","Positive",3,0,"Postgraduate","Near","Male",71,-0.112769780079435,-0.107313212544491
1.5074683995959,0.344493338028646,"Medium","Low",1,-0.0238168639172075,-0.490692659072625,"Low",1,1,"Low","Medium","Private","Neutral",2,0,"High School","Moderate","Male",67,0.519312820949495,-0.0359031697326662
0.839182207017696,-0.174954672518665,"Low","High",1,-0.705000532365408,-1.7406589329737,"Medium",1,1,"High","High","Public","Negative",2,0,"High School","Far","Male",66,-0.146818848212272,-0.591623902699054
-0.49739017813872,1.21024002227417,"Medium","High",0,-0.705000532365408,0.342618190194759,"High",1,0,"Medium","Low","Private","Neutral",1,0,"College","Near","Male",69,-0.601961500269556,0.350660340381123
0.505039110728592,1.55653869597237,"Medium","Medium",1,0.657366804530993,-0.282364946755779,"Medium",1,0,"High","High","Public","Positive",5,0,"High School","Moderate","Male",72,0.78611291882853,0.331995946382829
-0.49739017813872,-0.00180533566956129,"Low","High",0,0.657366804530993,0.898158756373014,"Medium",0,4,"Medium","High","Private","Neutral",4,0,"College","Moderate","Male",68,0.000897956230283277,-0.326967792008152
