"Hours_Studied","Attendance","Parental_Involvement","Access_to_Resources","Extracurricular_Activities","Sleep_Hours","Previous_Scores","Motivation_Level","Internet_Access","Tutoring_Sessions","Family_Income","Teacher_Quality","School_Type","Peer_Influence","Physical_Activity","Learning_Disabilities","Parental_Education_Level","Distance_from_Home","Gender","Exam_Score"
0.505039110728592,0.344493338028646,"Low","High",0,-0.0238168639172075,-0.143479805211215,"Low",1,0,"Low","Medium","Public","Positive",3,0,"High School","Near","Male",67
-0.163247081849616,-1.38700003046239,"Low","Medium",0,0.657366804530993,-1.11567579602316,"Low",1,2,"Medium","Medium","Public","Negative",4,0,"College","Moderate","Female",61
0.672110658873144,1.55653869597237,"Medium","Medium",1,-0.0238168639172075,1.10648646868986,"Medium",1,2,"Medium","Medium","Public","Neutral",4,0,"Postgraduate","Near","Male",74
1.5074683995959,0.777366680151406,"Low","Medium",1,0.657366804530993,1.59258446409583,"Medium",1,1,"Medium","Medium","Public","Negative",4,0,"High School","Moderate","Male",71
-0.163247081849616,1.03709068542506,"Medium","Medium",1,-0.705000532365408,-0.69902037138947,"Medium",1,3,"Medium","High","Public","Neutral",4,0,"College","Near","Female",70
-0.163247081849616,0.690792011726854,"Medium","Medium",1,0.657366804530993,0.967601327145296,"Medium",1,3,"Medium","Medium","Public","Positive",3,0,"Postgraduate","Near","Male",71
1.5074683995959,0.344493338028646,"Medium","Low",1,-0.0238168639172075,-0.490692659072625,"Low",1,1,"Low","Medium","Private","Neutral",2,0,"High School","Moderate","Male",67
0.839182207017696,-0.174954672518665,"Low","High",1,-0.705000532365408,-1.7406589329737,"Medium",1,1,"High","High","Public","Negative",2,0,"High School","Far","Male",66
-0.49739017813872,1.21024002227417,"Medium","High",0,-0.705000532365408,0.342618190194759,"High",1,0,"Medium","Low","Private","Neutral",1,0,"College","Near","Male",69
0.505039110728592,1.55653869597237,"Medium","Medium",1,0.657366804530993,-0.282364946755779,"Medium",1,0,"High","High","Public","Positive",5,0,"High School","Moderate","Male",72
-0.49739017813872,-0.00180533566956129,"Low","High",0,0.657366804530993,0.898158756373014,"Medium",0,4,"Medium","High","Private","Neutral",4,0,"College","Moderate","Male",68
-0.49739017813872,1.46996402754782,"Medium","High",1,-0.705000532365408,0.828716185600732,"Low",1,2,"Low","High","Private","Neutral",2,0,"High School","Near","Male",71
0.170896014439488,0.257918669604095,"Medium","Medium",1,0.657366804530993,1.52314189332355,"Low",1,2,"Medium","Medium","Public","Positive",4,0,"High School","Near","Male",70
-1.83396256329514,0.171344001179543,"Medium","Medium",1,0.657366804530993,-0.212922375983497,"Medium",1,2,"Medium","Medium","Private","Positive",3,0,"Postgraduate","Near","Male",66
-1.66689101515058,-0.174954672518665,"Medium","High",1,0.657366804530993,-0.074037234438933,"Medium",1,1,"Low","Medium","Private","Neutral",4,0,"Postgraduate","Near","Male",65
-0.49739017813872,-1.04070135676418,"Medium","Medium",0,0.657366804530993,-0.351807517528061,"Medium",1,2,"Medium","Medium","Private","Positive",4,0,"High School","Near","Female",64
-0.998604822572376,-1.7332987041606,"Medium","Low",1,2.01973414142739,-0.69902037138947,"Low",1,0,"High","Medium","Private","Positive",3,0,"College","Near","Male",60
0.33796756258404,-0.867552019915081,"Low","Medium",1,-0.705000532365408,0.481503331739323,"Medium",1,1,"Low","High","Public","Neutral",3,0,"High School","Near","Female",65
-0.831533274427824,-0.00180533566956129,"Medium","Medium",1,1.33855047297919,1.10648646868986,"Low",1,3,"Low","Medium","Public","Positive",2,0,"College","Moderate","Female",67
-1.33274791886148,-0.434678677792321,"Medium","High",1,-0.0238168639172075,-1.18511836679544,"Medium",1,3,"Medium","Medium","Private","Positive",4,0,"College","Near","Male",66
1.5074683995959,-0.174954672518665,"Medium","Medium",0,-1.38618420081361,1.66202703486812,"High",1,0,"High","Medium","Public","Negative",1,0,"High School","Moderate","Female",69
-0.163247081849616,1.64311336439693,"Medium","High",0,-0.705000532365408,0.620388473283887,"Medium",1,1,"Medium","High","Public","Neutral",3,0,"High School","Near","Male",72
0.00382446629493626,-0.521253346216873,"Medium","High",0,0.657366804530993,0.967601327145296,"Low",1,1,"Medium","Medium","Public","Negative",2,0,"College","Moderate","Female",66
-1.49981946700603,-0.174954672518665,"High","Medium",1,0.657366804530993,1.7314696056404,"High",1,1,"Low","Medium","Public","Neutral",3,0,"High School","Moderate","Male",66
-0.49739017813872,-1.30042536203784,"Low","High",1,-1.38618420081361,-0.004594663666651,"Medium",1,2,"Low","Medium","Public","Positive",3,0,"High School","Near","Female",63
0.170896014439488,-1.5601493673115,"High","Low",1,-0.705000532365408,-1.46288864988457,"High",1,0,"High","High","Public","Positive",3,0,"Postgraduate","Far","Male",64
-1.16567637071693,0.95051601700051,"Low","Medium",0,-0.705000532365408,1.03704389791758,"Medium",1,1,"High","Medium","Public","Negative",2,1,"High School","Moderate","Female",65
0.33796756258404,0.257918669604095,"High","High",1,-0.705000532365408,1.31481418100671,"Medium",1,0,"High","Medium","Public","Neutral",2,0,"College","Moderate","Male",71
-0.664461726283272,0.863941348575958,"Medium","Medium",0,-2.06736786926181,-1.18511836679544,"Medium",1,1,"Low","Medium","Public","Neutral",3,0,"High School","Moderate","Female",66
-0.330318629994168,-1.21385069361329,"High","High",0,-2.06736786926181,-1.67121636220142,"Low",1,2,"Low","Medium","Private","Neutral",2,0,"College","Near","Male",64
-0.664461726283272,0.257918669604095,"Low","Medium",0,-0.705000532365408,-1.25456093756773,"Medium",1,0,"High","Low","Public","Positive",4,1,"High School","Near","Female",63
1.84161149588501,-0.867552019915081,"Medium","High",1,-0.0238168639172075,-0.629577800617189,"Medium",1,1,"High","Medium","Public","Negative",3,0,"College","Near","Male",69
0.00382446629493626,-0.954126688339633,"Medium","Medium",1,0.657366804530993,1.45369932255127,"Medium",1,2,"Medium","High","Public","Positive",3,0,"High School","Near","Male",67
0.839182207017696,-1.30042536203784,"High","Medium",0,-1.38618420081361,1.03704389791758,"Medium",1,2,"Medium","Medium","Public","Positive",3,0,"College","Moderate","Female",68
-1.16567637071693,-0.694402683065977,"Low","Medium",0,-0.705000532365408,1.24537161023442,"Low",1,1,"Low","Medium","Public","Negative",3,0,"High School","Near","Male",61
0.170896014439488,-1.30042536203784,"Medium","Low",1,-0.0238168639172075,1.10648646868986,"Low",1,2,"Medium","High","Public","Positive",3,0,"High School","Far","Female",64
-2.00103411143969,1.64311336439693,"Medium","Medium",0,1.33855047297919,-1.46288864988457,"Low",1,2,"Low","Medium","Public","Neutral",5,0,"Postgraduate","Near","Female",67
-1.33274791886148,-0.694402683065977,"Low","Medium",1,0.657366804530993,0.620388473283887,"Medium",1,1,"Low","Medium","Public","Positive",5,0,"High School","Near","Female",63
0.170896014439488,-1.30042536203784,"Low","Medium",1,-0.705000532365408,1.59258446409583,"Low",1,1,"Medium","High","Public","Negative",4,0,"High School","Near","Male",64
0.672110658873144,-1.04070135676418,"High","Medium",0,0.657366804530993,-1.32400350834001,"Low",1,3,"High","High","Public","Neutral",1,0,"College","Near","Male",67
0.170896014439488,0.344493338028646,"Medium","Medium",1,-0.705000532365408,-1.60177379142914,"Low",1,1,"Medium","High","Public","Neutral",2,1,"College","Far","Female",65
-0.163247081849616,-1.47357469888694,"Low","High",0,-0.0238168639172075,1.31481418100671,"Medium",1,1,"Medium","Medium","Private","Positive",3,0,"High School","Moderate","Male",64
-0.330318629994168,1.21024002227417,"Medium","High",1,-0.0238168639172075,0.481503331739323,"Medium",1,3,"Medium","Medium","Private","Negative",2,1,"College","Near","Male",70
-1.49981946700603,1.55653869597237,"Medium","Medium",1,1.33855047297919,0.481503331739323,"Low",1,1,"Medium","Medium","Private","Positive",3,0,"Postgraduate","Far","Male",68
